,registry_id,fac_name,fac_lat,fac_long,fac_percent_minority,fac_pop_den,fac_days_last_inspection,fac_curr_compliance_status,fac_curr_snc_flg,tri_releases_transfers,fac_map_flg
1554,110000355829,W.R. GRACE & CO. - CONN. GRACE CONSTRUCTION PRODUCTS,33.736509999999996,-84.11858000000001,96.76299999999999,1985.75,5210.0,No Violation,N,0.0,Y
1555,110000355838,KEMIRA CHEMICALS INC,33.977973,-84.558388,46.166000000000004,1739.93,402.0,No Violation,N,8987.0,Y
1556,110000355865,AMREP INC,33.975724,-84.539783,47.346000000000004,2044.24,185.0,No Violation,N,42373.0,Y
1557,110000355909,AGCO INC,33.961834,-84.175742,69.205,2508.86,304.0,No Violation,N,9932.0,Y
1559,110000355945,AJAY NA LLC,33.867778,-84.64644399999999,64.601,1655.49,1354.0,In Violation,N,59950.0,Y
1563,110000356105,DIXIE INDUSTRIAL FINISHING CO INC,33.85642,-84.18819,63.924,2494.59,223.0,No Violation,N,47156.0,Y
1564,110000356114,ITW PRO BRANDS,33.847778000000005,-84.198611,65.714,2571.95,223.0,No Violation,N,651.0,Y
1565,110000356150,ARROW ADHESIVES CO,33.969458,-84.219346,53.03,2198.1,9132.0,No Violation,N,5.0,Y
1566,110000356196,MARCHEM SOUTHEAST INC,34.375833,-84.93388900000001,16.607,257.95,3552.0,No Violation,N,0.0,Y
1569,110000356249,ISOTEC INTERNATIONAL,34.22837,-84.4851,32.309,864.89,1353.0,No Violation,N,485.0,Y
1570,110000356276,SONY MUSIC ENTERTAINMENT INCORPORATED,33.60716,-85.10418,45.672,735.96,151.0,No Violation,N,1086.0,Y
1571,110000356285,HOUGHTON INTERNATIONAL INC,33.5699,-85.06853000000001,44.178999999999995,993.51,1221.0,No Violation,N,2424.0,Y
1573,110000356347,ACCELLA POLYURETHANE SYSTEMS,34.14721,-84.83538,28.934,618.88,2048.0,No Violation,N,1.0,Y
1574,110000356356,BOWEN STEAM ELECTRIC GENERATING PLANT,34.134097,-84.922832,17.434,278.16,12.0,In Violation,N,2015501.0,Y
1576,110000356427,ANHEUSER-BUSCH INC - CARTERSVILLE BREWERY,34.25768,-84.78161999999999,16.773,214.95,26.0,No Violation,N,27920.0,Y
1577,110000356445,THRALL CAR MANUFACTURING COMPANY,34.23455,-84.81088000000001,26.68,669.6,32.0,In Violation,N,128162.0,Y
1578,110000356481,GEO SPECIALTY CHEMICALS INC.,34.019222,-85.272111,42.925,563.74,131.0,In Violation,N,16937.0,Y
1579,110000356490,SHEBOYGAN PAINT CO,34.00501,-85.26957,43.123000000000005,559.83,636.0,No Violation,N,153382.0,Y
1580,110000356506,HON CO,34.013709999999996,-85.279393,43.425,530.0,39.0,In Violation,N,181176.0,Y
1581,110000356542,HOOVER PRECISION PRODUCTS INC,34.16175,-84.16356,25.658,1125.0,626.0,No Violation,N,13276.0,Y
1586,110000356631,ITW CHEMTRONICS,33.991884999999996,-84.612436,34.023,1624.96,2690.0,No Violation,N,1995.0,Y
1589,110000356739,BEKAERT STEEL,34.219359999999995,-85.173638,35.695,737.04,368.0,No Violation,N,38651.0,Y
1590,110000356828,INTERNATIONAL MARBLE INDUSTRIE S,34.12214,-84.51205999999999,20.717,1564.71,410.0,No Violation,N,19372.0,Y
1591,110000356837,CONTINENTAL TIRE THE AMERICAS LLC / ALDORA PLANT,33.0533,-84.1753,50.483000000000004,327.62,7835.0,No Violation,N,61350.0,Y
1592,110000356891,LIOCHEM INC,33.66326,-83.97731,71.22800000000001,941.19,472.0,No Violation,N,4510.0,Y
1593,110000356935,POREX CORP,33.554109999999994,-84.59378199999999,85.554,809.91,2453.0,No Violation,N,84.0,Y
1595,110000356953,OWENS CORNING INSULATING SYSYTEMS LLC FAIRBURN GA,33.54096,-84.61632,80.967,533.49,12.0,No Violation,N,110176.0,Y
1596,110000356971,BRIDGESTONE BANDAG LLC GRIFFIN PLANT,33.2355,-84.2337,52.353,770.36,285.0,No Violation,N,31268.0,Y
1598,110000357006,KIK (GEORGIA) LLC,33.408333,-84.29055600000001,51.472,602.05,2189.0,No Violation,N,1.0,Y
1600,110000357033,SPECIALTY FABRICS & CONVERTING,33.181381,-84.912701,37.756,156.79,369.0,No Violation,N,3760.0,Y
1601,110000357060,MILLIKEN & CO VALWAY PLANT (PART),33.02515,-85.04816,59.656000000000006,855.94,369.0,No Violation,N,16999.0,Y
1602,110000357113,MILLIKEN & CO LIVE OAK,33.01437,-85.03528,62.423,794.95,369.0,No Violation,N,1131.0,Y
1603,110000357159,HENKEL CORPORATION,33.009890000000006,-85.0587,58.545,568.85,65.0,No Violation,N,4984.0,Y
1604,110000357177,ADVICS MANUFACTURING GEORGIA LLC,33.01267,-85.06182,56.823,570.73,424.0,No Violation,N,85807.0,Y
1605,110000357195,WHEELABRATOR,33.00874,-85.06358,55.24,515.16,4385.0,No Violation,N,63147.0,Y
1606,110000357202,ATLAS ROOFING CORP,32.9969,-85.0464,64.439,496.46,597.0,No Violation,N,10.0,Y
1607,110000357211,PPG INDUSTRIES INC,33.989296,-83.965021,54.994,1843.55,1307.0,No Violation,N,14470.0,Y
1608,110000357220,PUBLIX SUPER MARKETS INC DACULA FACILITY,33.989706,-83.93933100000001,53.001000000000005,1512.15,3104.0,No Violation,N,35651.0,Y
1611,110000357266,TENCATE FINISHING (SOUTHERN MILLS),32.964338,-84.489763,17.684,45.41,369.0,In Violation,N,1535.0,Y
1612,110000357275,ABC COMPOUNDING CO INC,33.56494,-84.344257,82.359,2508.53,163.0,In Violation,N,17824.0,Y
1613,110000357284,SHERWIN-WILLIAMS CO,33.57132,-84.34265,82.681,2520.4,163.0,No Violation,N,35952.0,Y
1615,110000357319,YATES STEAM ELECTRIC GENERATING PLANT,33.462503000000005,-84.898549,11.975999999999999,102.47,87.0,No Violation,N,587908.0,Y
1616,110000357355,EM CORPORATION,33.35326,-84.55638,18.14,711.98,544.0,No Violation,N,3780.0,Y
1617,110000357373,SPECIALTY YARN & CONVERSION,33.57444,-83.89860999999999,62.453,917.21,19.0,In Violation,N,15438.0,Y
1621,110000357514,MONDELEZ GLOBAL LLC,33.71567,-84.42264,92.52600000000001,3313.72,369.0,No Violation,N,48567.0,Y
1623,110000357569,ARGOS CEMENT LLC,33.82182,-84.47228,51.887,1909.54,369.0,No Violation,N,1.0,Y
1624,110000357694,ACUITY SPECIALTY PRODUCTS GROUP INC.,33.808056,-84.428333,45.641999999999996,2817.43,563.0,No Violation,N,27805.0,Y
1625,110000357783,METALPLATE GALVANIZING LP,33.745129999999996,-84.54555,97.184,1349.9,1321.0,No Violation,N,57518.0,Y
1626,110000357792,SVC MANUFACTURING,33.70994,-84.59697,92.281,535.04,528.0,No Violation,N,15480.0,Y
1627,110000357836,OWENS CORNING ROOFING & ASPHALT LLC ATLANTA,33.7625,-84.54611,92.742,1454.0,109.0,No Violation,N,1701.0,Y
1628,110000357863,ALCHEMIX CORP,33.63622,-84.46186999999999,93.20299999999999,1738.98,59.0,In Violation,N,19607.0,Y
1630,110000357907,BP PRODUCTS NORTH AMERICA INC. DORAVILLE 1 TERMINAL,33.911039,-84.267527,70.851,3291.17,2231.0,No Violation,N,2936.0,Y
1631,110000357961,WILLIAM C. MEREDITH CO. INC.,33.690723999999996,-84.440188,88.624,2673.09,25.0,In Violation,N,266.0,Y
1632,110000358041,OWENS-BROCKWAY GLASS CONTAINER INC PLANT #10,33.668490000000006,-84.4189,85.59,1836.85,74.0,No Violation,N,199.0,Y
1633,110000358103,BRIGGS & STRATTON CORP,32.38411,-81.84464,31.168000000000003,177.7,1524.0,No Violation,N,2116.0,Y
1635,110000358167,CARGILL,34.29189,-83.81284000000001,71.744,1324.32,198.0,No Violation,N,50416.0,Y
1637,110000358210,SAPA EXTRUDER INC,34.2523,-83.8558,67.627,1161.25,418.0,No Violation,N,142393.0,Y
1639,110000358238,MAREL STORK POULTRY PROCESSING INC,34.275572,-83.825282,75.73899999999999,1314.83,7655.0,No Violation,N,69115.0,Y
1641,110000358327,SCOVILL FASTENERS GSG FASTENERS LLC,34.598333000000004,-83.52435,13.722999999999999,302.66,333.0,In Violation,N,24416.0,Y
1642,110000358336,FREUDENBERG-NOK GENERAL PTNR,34.61663,-83.76175,9.363,236.25,1129.0,No Violation,N,41878.0,Y
1643,110000358345,FIELDALE FARMS CORNELIA COMPLEX,34.508,-83.5383,38.519,429.18,741.0,No Violation,N,23856.0,Y
1644,110000358363,KOYO BEARINGS USA LLC,34.531110999999996,-84.005149,11.419,314.85,5116.0,No Violation,N,43061.0,Y
1649,110000358470,PPG ARCHITECTURAL FINISHES INC,34.21374,-83.89721999999999,31.575,826.5,2154.0,No Violation,N,3102.0,Y
1651,110000358559,CARRIER TRANSICOLD,33.96907,-83.34022,47.527,1440.84,3184.0,No Violation,N,15481.0,Y
1653,110000358611,JANSSEN PHARMACEUTICALS INC.,33.9811,-83.32829,63.158,809.6,171.0,No Violation,N,829027.0,Y
1654,110000358648,POWER PARTNERS INC,33.98482,-83.39348000000001,47.653,1641.58,1203.0,No Violation,N,68189.0,Y
1656,110000358700,MONROE AUTO EQUIPMENT CO,34.351290000000006,-82.94507,34.265,336.1,824.0,No Violation,N,49796.0,Y
1658,110000358746,PHARMA TECH INDUSTRIES,34.277907,-83.102601,21.098000000000003,189.98,3454.0,No Violation,N,1421.0,Y
1659,110000358791,SOLVAY - WINDER PLANT,33.993333,-83.765,26.559,566.14,447.0,No Violation,N,366013.0,Y
1660,110000358808,JOHNS MANVILLE,33.997209999999995,-83.7718,24.276,539.8,517.0,No Violation,N,8197.0,Y
1661,110000358817,STEPAN CO,33.99743,-83.78858000000001,23.206999999999997,465.59,439.0,No Violation,N,540.0,Y
1664,110000358899,HENKEL CORP,34.52629,-84.94811999999999,31.774,685.17,328.0,No Violation,N,9440.0,Y
1666,110000359004,ROBERTS CAPITOL,34.67569,-84.96876999999999,26.233,186.91,1936.0,No Violation,N,10407.0,Y
1667,110000359031,AMC INTERNATIONAL,34.709949,-84.955383,47.236999999999995,438.34,783.0,No Violation,N,6600.0,Y
1668,110000359068,ALADDIN MILLS - ANTIOCH RD PLA NT,34.73559,-84.94996,57.812,940.75,65.0,No Violation,N,11758.0,Y
1669,110000359175,MFG CHEMICAL INC,34.80342,-85.00018,41.784,932.55,3490.0,No Violation,N,241.0,Y
1670,110000359184,MFG CHEMICAL INC BROOKS ROAD,34.755764,-84.948498,60.955,1340.21,2333.0,No Violation,N,237.0,Y
1671,110000359193,PEACH STATE LABS LLC. - DALTON,34.769659999999995,-84.94901999999999,58.88399999999999,1408.2,4793.0,No Violation,N,1552.0,Y
1673,110000359228,CHEM-TECH FINISHERS INC,34.74086,-84.96401999999999,58.422,1218.34,445.0,No Violation,N,50990.0,Y
1674,110000359255,ROYAL ADHESIVES & SEALANTS LLC,34.7985,-84.9493,57.898,1301.24,880.0,No Violation,N,104302.0,Y
1675,110000359282,ROPER CORP,34.686521,-85.3014,10.337,310.23,381.0,No Violation,N,228420.0,Y
1677,110000359399,HOOVER TREATED WOOD PRODUCTS INC,33.449095,-82.53241,56.422,282.28,3314.0,No Violation,N,3118.0,Y
1678,110000359406,HP PELZER (AUTOMOTIVE SYSTEMS) INC.,33.45073,-82.53891,52.8,247.47,136.0,In Violation,N,14186.0,Y
1679,110000359415,GEORGIA-PACIFIC PANEL PRODUCTS LLC,33.465556,-82.47916,59.82,409.2,248.0,No Violation,N,62397.0,Y
1680,110000359433,TRW AUTOMOTIVE - WARRENTON CASTING CENTER,33.411752,-82.637477,73.389,103.87,368.0,No Violation,N,73578.0,Y
1681,110000359488,GENERAL CHEMICAL LLC AUGUSTA PLANT,33.433889,-81.936111,82.493,323.71,54.0,In Violation,N,12717.0,Y
1682,110000359521,DSM CHEMICALS NORTH AMERICA,33.441359999999996,-81.93123,80.26100000000001,360.96,202.0,In Violation,N,185154.0,Y
1683,110000359530,DSM COATING RESINS,33.453990000000005,-81.92855,78.51899999999999,473.28,472.0,No Violation,N,835.0,Y
1684,110000359638,COVIDIEN LP,33.39282,-81.98293000000001,58.31100000000001,489.07,304.0,No Violation,N,1297.0,Y
1685,110000359718,INTERNATIONAL PAPER AUGUSTA MILL,33.3286,-81.9537,39.989000000000004,209.63,51.0,In Violation,N,2434279.0,Y
1688,110000359754,E-Z-GO A TEXTRON CO,33.39654,-81.98886999999999,60.161,649.89,3408.0,No Violation,N,492760.0,Y
1689,110000359763,SOLVAY SPECIALTY POLYMERS USA LLC,33.370282,-82.01384499999999,62.229,937.31,370.0,No Violation,N,123258.0,Y
1690,110000359790,HELENA INDUSTRIES INC,32.018611,-83.814722,57.979,66.73,370.0,No Violation,N,745.0,Y
1691,110000359861,GRO TEC INC,33.34175,-83.39569,65.357,230.1,1796.0,No Violation,N,1500.0,Y
1693,110000359950,SP NEWSPRINT CO LLC,32.504129,-82.844859,41.589,101.26,89.0,In Violation,N,429213.0,Y
1694,110000359969,MID-GEORGIA COGEN,32.48516,-83.60412,26.381999999999998,95.02,199.0,No Violation,N,1797.0,Y
1695,110000360010,BURGESS PIGMENT COMPANY,32.97383,-82.82248,63.773,305.18,52.0,No Violation,N,12480.0,Y
1696,110000360047,CASCADE CORP,32.582601000000004,-83.587916,42.613,682.24,8012.0,No Violation,N,10030.0,Y
1697,110000360118,SOLENIS LLC,32.701282,-83.663101,26.622,290.42,1794.0,No Violation,N,4014.0,Y
1698,110000360127,CHEROKEE BRICK & TILE CO,32.803909999999995,-83.63571999999999,78.914,1092.68,370.0,No Violation,N,97147.0,Y
1700,110000360181,TRANE MACON (FC BUILDING),32.701253,-83.667998,26.346,315.08,10154.0,No Violation,N,55906.0,Y
1701,110000360225,SOUTH FLORIDA MATERIALS CORP DBA VECENERGY-MACON,32.73829,-83.66145,30.686999999999998,368.55,1098.0,No Violation,N,16579.0,Y
1702,110000360243,YKK (USA) INC. NATIONAL MANUFACTURING CENTER,32.81155,-83.56893000000001,79.598,211.74,334.0,No Violation,N,55889.0,Y
1704,110000360378,BASF CORP - SAVANNAH OPERATIONS,32.07195,-81.05866999999999,65.24600000000001,1691.51,402.0,No Violation,N,1909150.0,Y
1705,110000360396,PHILLIPS 66 SAVANNAH LUBRICANTS PLANT,32.07134,-81.04926999999999,62.836999999999996,1673.24,2454.0,No Violation,N,5176.0,Y
1706,110000360449,KERRY INGREDIENTS & FLAVOURS,32.10945,-81.22126999999999,39.313,482.6,292.0,No Violation,N,123465.0,Y
1707,110000360467,INTERCAT-SAVANNAH INC,32.1151,-81.2204,39.589,449.46,207.0,No Violation,N,90605.0,Y
1708,110000360564,CAROLINA SKIFF LLC,31.245790000000003,-82.42078000000001,28.239,269.21,227.0,In Violation,N,191604.0,Y
1709,110000360608,ALLIED UNIVERSAL CORP,31.112112,-81.548129,16.691,92.28,7508.0,No Violation,N,7.0,Y
1710,110000360617,MCMANUS STEAM ELECTRIC GENERATING PLANT,33.764109999999995,-84.37857,52.508,5509.61,712.0,In Violation,N,0.0,Y
1711,110000360644,OPTIMA CHEMICAL GROUP LLC,31.485909999999997,-82.86318,55.41,521.85,873.0,No Violation,N,337160.0,Y
1714,110000360680,SOUTHWIRE COMPANY DOUGLAS PLANT 2,31.482840000000003,-82.87006,55.996,485.7,5291.0,No Violation,N,9611.0,Y
1715,110000360742,B & M WOOD PRODS,31.127359999999996,-82.58388000000001,15.719000000000001,21.37,129.0,No Violation,N,1135.0,Y
1716,110000360779,BATHCRAFT LLC,30.800279999999997,-83.27956,79.524,593.86,186.0,No Violation,N,142691.0,Y
1717,110000360804,LANGDALE FOREST PRODUCTS CO,30.8164,-83.27633,70.508,1110.41,236.0,No Violation,N,1390.0,Y
1718,110000360813,CHEMICAL RESEARCH\TECHNOLOGY (CR\T),30.8386,-83.255639,71.681,1374.11,381.0,In Violation,N,3952.0,Y
1719,110000360822,SAFT AMERICA,30.802659999999996,-83.28763000000001,77.273,679.54,11.0,No Violation,N,672534.0,Y
1720,110000360877,ERCO WORLDWIDE INC,30.83227,-83.22214,81.718,323.22,81.0,No Violation,N,4730.0,Y
1721,110000360939,US MARINE CORPS LOGISTICS BASE ALBANY,31.557209999999998,-84.055,78.236,322.0,46.0,No Violation,N,116042.0,Y
1722,110000360957,GEORGIA POWER COMPANY-MITCHELL PLT,31.444640000000003,-84.13265,46.398,108.89,289.0,No Violation,N,32287.0,Y
1723,110000360975,SCHUFF STEEL - ATLANTIC INC.,31.622659999999996,-84.19091,42.161,1122.03,2643.0,No Violation,N,56900.0,Y
1726,110000361019,COOPER LIGHTING INC,32.10478,-84.20108,76.404,430.02,704.0,No Violation,N,5644.0,Y
1727,110000361046,HICKORY SPRINGS MANUFACTURING COMPANY,32.1098,-84.199823,78.32,349.51,3427.0,No Violation,N,87.0,Y
1728,110000361055,AGRIUM US INC,32.05546,-84.23557,66.668,678.91,466.0,In Violation,N,5963.0,Y
1730,110000361180,CLEAVER BROOKS,30.8311,-83.9901,56.303000000000004,734.59,2726.0,No Violation,N,22999.0,Y
1732,110000361215,EVOQUA WATER TECHNOLOGIES LLC,30.83308,-83.95178,51.269,783.94,573.0,No Violation,N,7061.0,Y
1733,110000361233,CENTEK INDUSTRIES INC.,30.862209999999997,-84.00232,58.156000000000006,500.78,1755.0,No Violation,N,4003.0,Y
1734,110000361242,TIFTON ALUMINUM EXTRUSIONS INC,31.4171,-83.49488000000001,72.45,488.46,241.0,No Violation,N,251795.0,Y
1736,110000361279,TRIEST AG GROUP INC,31.429653000000002,-83.527393,65.219,559.43,142.0,In Violation,N,18459.0,Y
1737,110000361288,HEATCRAFT REFRIGERATION PRODUC TS INC.,31.41285,-83.48391,73.15,339.19,1621.0,No Violation,N,42.0,Y
1738,110000361304,GEORGIA-PACIFIC WOOD PRODUCTS LLC WARM SPRINGS PLYWOOD,32.916131,-84.780693,27.075,18.03,500.0,In Violation,N,16300.0,Y
1740,110000361368,PEACH STATE LABS LLC. - COLUMBUS,32.519129,-84.973933,32.569,1964.44,829.0,No Violation,N,1145.0,Y
1741,110000361402,PANASONIC ENERGY CORP OF AMERICA LITHIUM DIV,32.49762,-84.88004000000001,65.197,1549.89,1696.0,No Violation,N,132592.0,Y
1742,110000361439,CESSNA AIRCRAFT CO,32.51201,-84.87785,57.924,1497.39,170.0,No Violation,N,1.0,Y
1743,110000361448,STEPAN COMPANY,32.5075,-84.8817,58.83,1638.13,2495.0,No Violation,N,20568.0,Y
1745,110000361527,DMI-COLUMBUS LLC,32.53032,-84.96989,30.801,1857.39,563.0,No Violation,N,58488.0,Y
1746,110000361590,THOMAS & BETTS CORPORATION,29.328238,-81.114181,7.667999999999999,407.56,1018.0,No Violation,N,82456.0,Y
1747,110000361643,TOWNLEY FOUNDRY,29.071844,-81.978993,26.96,516.0,1831.0,No Violation,N,0.0,Y
1748,110000361732,VERITAS STEEL,29.692522999999998,-81.654742,61.93899999999999,232.21,1213.0,No Violation,N,44556.0,Y
1749,110000361741,HUBBELL LENOIR CITY INC,29.652666999999997,-81.687667,43.735,663.01,375.0,No Violation,N,13550.0,Y
1750,110000361796,ADCOM WIRE CO,30.334809999999997,-81.75205,50.39,1418.14,655.0,No Violation,N,61611.0,Y
1751,110000361821,METAL CONTAINER CORP - JACKSONVILLE CAN PLANT,30.339173,-81.744755,60.443999999999996,1473.83,235.0,No Violation,N,102715.0,Y
1752,110000361830,IFF CHEMICAL HOLDINGS INC,30.34774,-81.7494,63.147,1047.88,370.0,No Violation,N,937.0,Y
1753,110000361876,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,43.229,1769.98,446.0,No Violation,N,7.0,Y
1754,110000361910,JONES CHEMICAL,30.341578000000002,-81.627045,60.942,3268.73,1627.0,No Violation,N,5.0,Y
1755,110000361938,OWENS CORNING,30.336370000000002,-81.63002,61.347,3217.19,297.0,No Violation,N,5268.0,Y
1756,110000361965,RENESSENZ LLC JACKSONVILLE,30.38012,-81.664335,86.82799999999999,2789.22,74.0,No Violation,N,6290.0,Y
1757,110000362018,CEDAR BAY GENERATING CO LP,30.4225,-81.60638900000001,33.445,640.48,121.0,In Violation,N,378958.0,Y
1758,110000362036,ANHEUSER BUSCH - JACKSONVILLE BREWERY,30.432823,-81.647707,65.72399999999999,1287.93,458.0,No Violation,N,88839.0,Y
1759,110000362063,METALPLATE GALVANIZING LP,30.395704,-81.763762,76.238,732.45,437.0,No Violation,N,700.0,Y
1762,110000362125,US DOD MARINE CORPS BLOUNT ISLAND COMMAND,30.406374,-81.52154,19.579,455.29,257.0,No Violation,N,47933.0,Y
1763,110000362134,ST JOHNS RIVER POWER PARK,30.417526000000002,-81.552279,21.160999999999998,168.73,1537.0,No Violation,N,4154480.0,Y
1765,110000362170,JOHNS MANVILLE  JACKSONVILLE,30.350640000000002,-81.7412,73.062,1318.69,265.0,No Violation,N,462.0,Y
1766,110000362232,CHEMRING ORDNANCE INC,29.971165000000003,-83.655854,12.795,10.42,215.0,In Violation,N,67.0,Y
1767,110000362287,ARIZONA CHEMICAL CO,30.144577,-85.61813000000001,37.006,1783.23,418.0,No Violation,N,439567.0,Y
1770,110000362385,REICHHOLD INC,30.407231,-87.241988,55.373000000000005,2514.15,625.0,No Violation,N,109217.0,Y
1771,110000362394,ARIZONA CHEMICAL CO LLC,30.407331,-87.241982,55.369,2514.09,206.0,No Violation,N,13655.0,Y
1772,110000362429,PALL MEMBRANE TECHNOLOGY CENTER,30.521435999999998,-87.200464,28.648000000000003,2017.43,291.0,No Violation,N,633420.0,Y
1773,110000362438,WAYNE DALTON OF PENSACOLA A DIV OF OVERHEAD DOOR CORP,30.529947999999997,-87.192685,26.733,1858.17,1985.0,No Violation,N,0.0,Y
1774,110000362456,EXXONMOBIL CHEMICAL CO,30.59473,-87.25199,18.073,431.29,926.0,No Violation,N,3602.0,Y
1776,110000362492,NITROUS OXIDE CORP,30.590209,-87.260614,18.333,542.95,128.0,No Violation,N,4750.0,Y
1777,110000362508,MARBLE WORKS,30.415002,-86.670998,31.316,1323.08,383.0,No Violation,N,4870.0,Y
1778,110000362544,FABBRO MARINE GROUP,30.63676,-86.983884,32.567,322.38,136.0,No Violation,N,15607.0,Y
1779,110000362615,GAINESVILLE REGIONAL UTILITIES DEERHAVEN GENERATING STATION,29.7586,-82.3883,15.939,228.84,178.0,No Violation,N,10153.0,Y
1780,110000362651,LOCKHEED MARTIN MISSILES & FIRE CONTROL,29.089000000000002,-81.99736899999999,41.004,601.72,375.0,No Violation,N,1459.0,Y
1781,110000362777,COVIDIEN,29.06083,-81.265,23.197,739.04,192.0,No Violation,N,94267.0,Y
1782,110000362795,SILVER SPRINGS CITRUS,28.715158000000002,-81.7804,19.352999999999998,277.41,202.0,No Violation,N,3512.0,Y
1783,110000362955,OUTOKUMPU STAINLESS PIPE INC,28.875546000000003,-82.038824,21.322,472.89,894.0,No Violation,N,503000.0,Y
1784,110000362991,VECTORWORKS INTERNATIONAL INC,28.622302,-80.811042,27.82,1540.86,229.0,No Violation,N,20360.0,Y
1787,110000363044,MODERN WELDING CO OF FLOR IDA INC.,28.5223,-81.38248,52.081,4157.65,1143.0,No Violation,N,5241.0,Y
1788,110000363115,SHERWIN-WILLIAMS CO,28.449444,-81.409444,78.652,2390.77,438.0,No Violation,N,12359.0,Y
1791,110000363197,ADDISON,28.621125,-81.446039,63.446999999999996,3354.43,395.0,No Violation,N,4924.0,Y
1793,110000363240,CLONDALKIN FLEXIBLE PACKAGING - ORLANDO,28.406296,-81.395472,68.413,1812.68,387.0,No Violation,N,3605.0,Y
1794,110000363259,FUTURE FOAM INC,28.405347999999996,-81.39527700000001,68.712,1886.13,1110.0,No Violation,N,0.0,Y
1795,110000363268,SONOCO PRODUCTS CO,28.406617999999998,-81.401172,65.155,1854.01,370.0,No Violation,N,21177.0,Y
1796,110000363295,POLYNT COMPOSITES USA INC.,28.418027000000002,-81.387027,70.907,1530.94,571.0,No Violation,N,235105.0,Y
1797,110000363302,BRENNTAG MID SOUTH INC,28.40725,-81.379042,73.925,1614.85,1165.0,No Violation,N,68.0,Y
1798,110000363357,FAR RESEARCH INC,28.055946999999996,-80.593292,30.401,2588.7,1019.0,No Violation,N,89676.0,Y
1799,110000363366,HARRIS GOVERNMENT COMMUNICATION SYSTEMS DIV,28.034019,-80.600228,34.792,2206.79,179.0,No Violation,N,299.0,Y
1801,110000363437,RICHARD'S PAINT MANUFACTURING INC,28.264578999999998,-80.69025699999999,17.477999999999998,1685.84,76.0,No Violation,N,0.0,Y
1802,110000363464,DUSKY MARINE INC,26.05477,-80.15562,43.852,3150.02,54.0,No Violation,N,22498.0,Y
1804,110000363598,KEYS ENERGY SERVICES,24.563447,-81.73389399999999,42.201,2651.38,143.0,No Violation,N,44.0,Y
1805,110000363632,REPUBLIC METALS CORP,25.890583,-80.26195600000001,96.015,5757.23,96.0,No Violation,N,1869867.0,Y
1806,110000363641,ABB INC,26.285295,-80.286012,44.537,2837.8,248.0,No Violation,N,16034.0,Y
1807,110000363730,STIMPSON CO INC,26.214318,-80.14240500000001,46.29,4026.47,779.0,No Violation,N,1037839.0,Y
1809,110000363847,FPL PORT EVERGLADES ENERGY CENTER,26.085278,-80.126111,31.483,2599.86,5.0,No Violation,N,466.0,Y
1811,110000363874,EXXONMOBIL OIL CORP PORT EVERGLADES TERMINAL,26.092547,-80.13069200000001,36.945,3012.98,12.0,No Violation,N,12191.0,Y
1812,110000363883,BP PRODUCTS NORTH AMERICA INC PORT EVERGLADES TERMINAL,26.09291,-80.129565,36.238,3013.88,5.0,No Violation,N,5510.0,Y
1813,110000363909,CHEVRON PORT EVERGLADES TERMINAL,26.092707,-80.128179,34.768,3000.41,9.0,In Violation,N,21239.0,Y
1814,110000363963,FPL - RIVIERA POWER PLANT,26.7653,-80.0528,71.52,3701.32,53.0,No Violation,N,45925.0,Y
1815,110000363990,PURECOAT INTERNATIONAL LLC,26.741365000000002,-80.067631,66.583,3807.16,795.0,No Violation,N,4709.0,Y
1816,110000364025,SAFETY-KLEEN SYSTEMS BOYNTON BEACH (BOY),26.540213,-80.08094799999999,42.986999999999995,4243.12,319.0,No Violation,N,305955.0,Y
1820,110000364374,JOHNSON CONTROLS BATTERY GROUP INC,28.042978,-82.424527,64.69,5018.72,137.0,In Violation,N,3603692.0,Y
1822,110000364436,CHEVRON PORT TAMPA TERMINAL,27.861224,-82.537483,37.855,2196.98,1048.0,No Violation,N,16688.0,Y
1823,110000364472,ENVIROFOCUS TECHNOLOGIES,27.96286,-82.38166,75.11399999999999,1603.18,215.0,In Violation,Y,37229.0,Y
1824,110000364551,TRADEMARK NITROGEN CORP,27.954320000000003,-82.34976400000001,58.533,2113.44,508.0,No Violation,N,6832.0,Y
1825,110000364604,NEXEO SOLUTIONS LLC,28.005149,-82.530749,69.529,3352.93,115.0,No Violation,N,30754.0,Y
1826,110000364677,MOLEX LLC,27.79363,-82.73924,17.909000000000002,4299.84,1230.0,No Violation,N,1448672.0,Y
1827,110000364695,H&T GLOBAL CIRCUITS LLC D.B.A. ELREHA PRINTED CIRCUITS,27.764709000000003,-82.666885,47.865,4443.14,479.0,No Violation,N,21321.0,Y
1828,110000364702,SOLAMATRIX INC,27.763253999999996,-82.669359,47.895,4406.42,46.0,No Violation,N,38874.0,Y
1829,110000364720,JABIL CIRCUITS INC,27.867619,-82.649057,22.06,2569.04,993.0,No Violation,N,2692.0,Y
1830,110000364757,ITW POLYMERS ADHESIVES,27.878722999999997,-82.708269,26.734,2702.43,373.0,No Violation,N,12988.0,Y
1831,110000364828,HEXION INC,28.015287,-81.908862,28.29,1858.9,95.0,No Violation,N,91557.0,Y
1832,110000364855,PUBLIX LAKELAND INDUSTRIAL COMPLEX & BAKERY,28.041026000000002,-82.007289,50.198,1256.03,8893.0,No Violation,N,90484.0,Y
